panel,case,generated_object,primary_readout,empirical_reference,changed_input
a,"Urban
Scaling","Metropolitan
table","Population relationships
with Road/GDP","Observed city
systems",Population
a,"Distance
Decay","Land-density
profile","Radial parameters and
local variation","Observed city
profiles","Distance from
centre"
a,"Jacobs-informed
Vitality","Neighbourhood
table","Morphology coefficients
for activity","52 Melbourne
sites","Morphology
indicator"
a,"Place Pulse
Perception","Street-view
scene","Six predicted
impressions","Human pair
judgements",Theme edit
