generation_id,prompt_condition,response_record_present,transport_success,content_present,valid_n,rejected_n,complete_100,fit_status,zipf_beta,zipf_r2,road_beta,road_r2,gdp_beta,gdp_r2,population_unique_ratio,population_log10_span,road_unique_ratio,road_log10_span,gdp_unique_ratio,gdp_log10_span,road_log_residual_sd,gdp_log_residual_sd
source_matched_baseline_001,Baseline prompt,1,1,1,90,0,0,ok,-0.6517255433352692,0.8227208072041915,0.7000682188711881,0.9777197048605348,0.9038380218200718,0.9829803354765324,1.0,0.9798736363705656,0.9777777777777776,0.6763714064916639,0.9888888888888888,0.9167779763810446,0.0700890144018065,0.0788769291964553
source_matched_blueprint_001,Blueprint prompt,1,1,1,90,0,0,ok,-1.9116487576280283,0.7814988803390122,0.7782518305566216,0.9932599453379722,1.098465271343713,0.9979845137993364,0.9888888888888888,4.305882498458393,1.0,2.9807606420143298,0.9888888888888888,4.672190251188253,0.1279623244509689,0.0985317204043431
source_matched_baseline_002,Baseline prompt,1,1,1,88,0,0,ok,-0.6019676587049179,0.7894911755021703,0.9620097329049452,0.9943939097640077,0.9760619775175666,0.9863379517343216,1.0,0.9578604880003408,1.0,0.9407838253423036,1.0,0.9505146369200816,0.0451154720006239,0.0717492979841596
source_matched_blueprint_002,Blueprint prompt,1,1,1,93,0,0,ok,-1.3642925166745592,0.9097576019102042,0.8454447366883867,0.970056987839225,1.086828056973482,0.994345389437986,0.956989247311828,2.988261596728756,0.935483870967742,2.054357662322593,0.956989247311828,3.089473348621881,0.1964472478005008,0.1083939802948345
source_matched_baseline_003,Baseline prompt,1,1,1,87,0,0,ok,-0.4205716249313432,0.7298489530836272,0.9768487757414742,0.9976144943946476,1.0567602376555385,0.9919284860551096,1.0,0.707306187426255,1.0,0.7106467954337816,0.9655172413793104,0.8090226745689773,0.0216664178646987,0.0432379122830072
source_matched_blueprint_003,Blueprint prompt,1,1,1,98,0,0,ok,-2.037430601199898,0.893698089539032,0.6571866194815976,0.9910147905157184,0.8144646395523429,0.9904550974829464,1.0,3.638854363728477,1.0,2.4776289046686437,0.6938775510204082,2.9566485792052037,0.1250354216989358,0.1597573699242251
source_matched_baseline_004,Baseline prompt,1,1,1,90,0,0,ok,-0.5509740078505093,0.7428592648110461,0.9117488994557272,0.9915167717612768,1.073146122130044,0.994586957195255,0.9888888888888888,1.0568805081576371,0.9333333333333332,0.9277257676948474,0.9888888888888888,1.1153216285569514,0.049762413220513,0.0467147311134999
source_matched_blueprint_004,Blueprint prompt,1,1,1,88,0,0,ok,-1.5519607644411448,0.8790222159719971,1.19003248703669,0.9926139397259272,0.8873434305004284,0.9963459489544332,1.0,2.539269161468507,1.0,2.8703661421833204,0.8295454545454546,2.3443922736851106,0.1566576381005846,0.0820069163797885
source_matched_baseline_005,Baseline prompt,1,1,1,90,0,0,ok,-0.3560899421290577,0.853574910600834,0.8466578302477721,0.978936367022162,0.8926062732334161,0.9874049566302872,1.0,0.673099029618407,1.0,0.5327586902325683,1.0,0.6188302015778553,0.044182880511384,0.0358648324183506
source_matched_blueprint_005,Blueprint prompt,1,1,1,90,0,0,ok,-1.2314114092136386,0.9671060648743102,0.8838847991998335,0.9846527962744266,1.0294294174029686,0.9932035612126864,1.0,2.3737546241535545,0.8,2.2762064119389493,0.9888888888888888,2.532081685330416,0.1275418338381475,0.098424239488186
