scene_id,target_profile_attenuation,random_profile_change,specificity
scene_001,0.13514141867624418,0.5650574012314006,-0.4299159825551564
scene_002,0.4121023601847101,0.7971876603386352,-0.3850853001539251
scene_003,0.3217996408414571,0.6093910338635197,-0.28759139302206255
scene_004,0.43897511544381734,0.6849265649050794,-0.24595144946126207
scene_005,0.10693785274499742,0.7157757183170856,-0.6088378655720882
scene_006,0.2573675602873268,0.9408991790661877,-0.6835316187788609
scene_007,0.46583985377116466,1.005259107234479,-0.5394192534633143
scene_008,0.3991870831195485,1.2681102488455618,-0.8689231657260132
scene_009,0.008016931759876856,1.2047283863519753,-1.1967114545920985
scene_010,-0.08793772447408926,0.8100869035402771,-0.8980246280143664
scene_011,0.37302783478707024,1.1970722165212928,-0.8240443817342226
scene_012,0.43257760389943556,0.5950968445356593,-0.1625192406362237
