theme,dimension,n_scenes,reference_effect,clean_signed_theme_score_estimate,clean_signed_theme_score_ci95_low,clean_signed_theme_score_ci95_high,target_signed_theme_score_estimate,target_signed_theme_score_ci95_low,target_signed_theme_score_ci95_high,random_signed_theme_score_estimate,random_signed_theme_score_ci95_low,random_signed_theme_score_ci95_high,target_change_estimate,target_change_ci95_low,target_change_ci95_high,random_change_estimate,random_change_ci95_low,random_change_ci95_high
natural_elements,Beautiful,12,2.2333333333333334,5.40625,3.3177083333333335,7.326822916666667,4.7109375,2.86328125,6.389322916666667,3.75,2.3424479166666665,5.088541666666667,0.6953125,0.3450520833333333,1.0677083333333333,1.65625,0.7096354166666666,2.6796875
natural_elements,Depressing,12,-2.775,-4.248697916666667,-6.066438802083333,-2.446582031250003,-4.21484375,-5.855501302083333,-2.592415364583336,-3.3333333333333335,-4.723958333333333,-1.99609375,-0.033854166666666664,-0.33984375,0.24348958333333334,-0.9153645833333334,-1.5625,-0.2955729166666667
natural_elements,Lively,12,1.1916666666666667,5.67578125,4.80859375,6.6171875,4.891927083333333,4.041666666666667,5.802083333333333,4.364583333333333,3.4661458333333335,5.2421875,0.7838541666666666,0.2591145833333333,1.3138020833333333,1.3111979166666667,0.5104166666666666,2.1236979166666665
natural_elements,Safe,12,1.0916666666666666,3.10546875,2.4544270833333335,3.7434895833333335,2.2122395833333335,1.7694986979166667,2.6315104166666665,2.2096354166666665,1.8190104166666667,2.578125,0.8932291666666666,0.4348958333333333,1.4036458333333333,0.8958333333333334,0.4244791666666667,1.39453125
natural_elements,Wealthy,12,1.3499999999999999,3.1640625,1.2994791666666667,4.876302083333333,2.546875,0.8255208333333334,4.138020833333333,2.2747395833333335,0.7929361979166667,3.6445638020833306,0.6171875,0.28125,0.9752929687499972,0.8893229166666666,0.3723958333333333,1.4674479166666667
natural_elements,Boring,12,-1.1916666666666667,-3.29296875,-4.665397135416667,-2.0364583333333335,-3.09375,-4.125032552083333,-2.1770833333333335,-2.4817708333333335,-3.3984375,-1.6575520833333333,-0.19921875,-0.6393229166666666,0.20052083333333334,-0.8111979166666666,-1.3568033854166666,-0.3125
traffic_elements,Beautiful,12,-0.7666666666666666,-1.171875,-1.9596354166666667,-0.3802083333333333,-1.6875,-2.578125,-0.7890625,-1.5520833333333333,-2.2734375,-0.7669270833333334,0.515625,0.25390625,0.7369791666666666,0.3802083333333333,-0.22786458333333334,0.9921875
traffic_elements,Depressing,12,0.08333333333333333,-1.1315104166666667,-3.27607421875,1.0729817708333278,-1.0286458333333333,-3.2161458333333335,1.26953125,-1.0520833333333333,-3.03779296875,0.9674804687499972,-0.10286458333333333,-0.2643229166666667,0.07421875,-0.07942708333333333,-0.4440104166666667,0.2942708333333333
traffic_elements,Lively,12,1.4583333333333333,7.125,5.658854166666667,8.341145833333334,7.270833333333333,5.984375,8.343782552083331,5.790364583333333,4.580729166666667,6.828125,-0.14583333333333334,-0.3567708333333333,0.06640625,1.3346354166666667,0.5130208333333334,2.3059895833333335
traffic_elements,Safe,12,-0.4083333333333334,-4.106770833333333,-4.859375,-3.3385416666666665,-4.208333333333333,-5.1875,-3.19140625,-3.7864583333333335,-4.47919921875,-3.1510416666666665,0.1015625,-0.3203125,0.51171875,-0.3203125,-0.6627604166666666,-0.016927083333333332
traffic_elements,Wealthy,12,0.2416666666666667,-0.35546875,-1.8567708333333333,1.2305013020833304,-0.5703125,-2.05732421875,1.078125,-0.88671875,-2.016959635416667,0.3658854166666667,0.21484375,-0.10416666666666667,0.5312825520833305,0.53125,-0.06510416666666667,1.2187825520833304
traffic_elements,Boring,12,-0.375,-3.15234375,-4.10810546875,-2.12109375,-3.23046875,-3.9466145833333335,-2.432259114583336,-2.7526041666666665,-3.54560546875,-1.9192708333333333,0.078125,-0.28125,0.4192708333333333,-0.3997395833333333,-0.96484375,0.09505208333333333
built_elements,Beautiful,12,0.48333333333333334,0.9192708333333334,-0.3880208333333333,2.21875,0.3515625,-0.8177408854166667,1.5,0.5078125,-0.4934895833333333,1.4817708333333333,0.5677083333333334,0.3606770833333333,0.7890625,0.4114583333333333,0.016927083333333332,0.8385416666666666
built_elements,Depressing,12,-1.0666666666666667,0.18880208333333334,-1.4010416666666667,1.7786458333333333,-0.11328125,-1.8059895833333333,1.609375,0.3450520833333333,-1.1028971354166666,1.8020833333333333,0.3020833333333333,0.055989583333333336,0.5807291666666666,-0.15625,-0.5299479166666666,0.20833333333333334
built_elements,Lively,12,0.15,1.1471354166666667,0.6354166666666666,1.6796875,1.1002604166666667,0.65625,1.6002604166666667,0.4713541666666667,-0.11588541666666667,1.0651041666666667,0.046875,-0.15494791666666666,0.27998046874999716,0.67578125,0.24739583333333334,1.1172200520833304
built_elements,Safe,12,0.3416666666666666,2.1236979166666665,1.1627604166666667,3.1692708333333335,1.58984375,0.7734375,2.4609375,1.3697916666666667,0.7968424479166667,1.953125,0.5338541666666666,0.30078125,0.7994791666666666,0.75390625,0.2786458333333333,1.2890625
built_elements,Wealthy,12,0.975,1.79296875,0.06640625,3.391959635416664,1.5104166666666667,-0.23697916666666666,3.1575520833333335,1.4270833333333333,0.018229166666666668,2.7513020833333335,0.2825520833333333,-0.014322916666666666,0.53515625,0.3658854166666667,-0.07291666666666667,0.8528645833333334
built_elements,Boring,12,0.05833333333333335,-0.14192708333333334,-1.2877604166666667,1.0377604166666667,-0.28125,-1.4805013020833333,0.93359375,0.16536458333333334,-0.81640625,1.1510416666666667,0.13932291666666666,-0.005208333333333333,0.3098958333333333,-0.3072916666666667,-0.6263020833333334,-0.018229166666666668
