theme,dimension,n_scenes,reference_effect,clean_signed_theme_score_estimate,clean_signed_theme_score_ci95_low,clean_signed_theme_score_ci95_high,target_signed_theme_score_estimate,target_signed_theme_score_ci95_low,target_signed_theme_score_ci95_high,random_signed_theme_score_estimate,random_signed_theme_score_ci95_low,random_signed_theme_score_ci95_high,target_change_estimate,target_change_ci95_low,target_change_ci95_high,random_change_estimate,random_change_ci95_low,random_change_ci95_high
natural_elements,Beautiful,12,2.2333333333333334,7.907552083333333,5.377604166666667,10.33203125,0.5234375,0.0221354166666666,0.9830729166666666,5.260416666666667,3.333333333333333,7.126334635416663,7.384114583333333,5.063802083333333,9.782552083333334,2.6471354166666665,1.7630208333333333,3.6015625
natural_elements,Depressing,12,-2.775,-6.598958333333333,-8.204427083333334,-5.014322916666667,-1.9010416666666667,-3.25390625,-0.6171549479166695,-5.319010416666667,-6.6640625,-3.94921875,-4.697916666666667,-5.904947916666667,-3.540364583333333,-1.2799479166666667,-2.1236979166666665,-0.4466145833333333
natural_elements,Lively,12,1.1916666666666669,4.9296875,3.7200520833333335,6.270833333333333,1.03125,0.4348958333333333,1.6706054687499972,2.98046875,1.9075520833333333,4.108072916666667,3.8984375,2.3932291666666665,5.630208333333333,1.94921875,0.9583333333333334,3.0182291666666665
natural_elements,Safe,12,1.0916666666666666,3.052083333333333,2.1783854166666665,3.8671875,-0.2604166666666667,-0.7565104166666666,0.2604166666666667,2.078125,1.2252604166666667,2.9049479166666665,3.3125,2.623665364583333,4.020833333333333,0.9739583333333334,0.3854166666666667,1.5234375
natural_elements,Wealthy,12,1.35,3.47265625,1.9752604166666667,4.895833333333333,0.0520833333333333,-0.625,0.7721354166666666,1.5598958333333333,0.3671875,2.7330729166666665,3.4205729166666665,2.059895833333333,4.899739583333333,1.9127604166666667,1.22265625,2.6354166666666665
natural_elements,Boring,12,-1.1916666666666669,-5.52734375,-6.772135416666667,-4.341145833333333,-1.60546875,-2.087239583333333,-1.1041666666666667,-5.015625,-5.947916666666667,-4.140625,-3.921875,-4.9453125,-2.903645833333333,-0.51171875,-1.1185221354166666,0.1536783854166638
traffic_elements,Beautiful,12,-0.7666666666666666,-1.0208333333333333,-1.640625,-0.35546875,-1.3684895833333333,-1.9114583333333333,-0.7447916666666666,-1.8619791666666667,-2.4479166666666665,-1.2981770833333333,0.34765625,-0.1419270833333333,0.84765625,0.8411458333333334,0.3294270833333333,1.3333333333333333
traffic_elements,Depressing,12,0.0833333333333333,-1.0950520833333333,-2.809895833333333,0.6237630208333276,-1.1653645833333333,-2.6197916666666665,0.265625,-1.33203125,-2.9440104166666665,0.4283854166666667,0.0703125,-0.4869791666666667,0.6080729166666666,0.2369791666666666,-0.2200520833333333,0.703125
traffic_elements,Lively,12,1.4583333333333333,5.700520833333333,4.19140625,7.3125,0.1002604166666666,-0.1575520833333333,0.3697916666666667,4.518229166666667,3.3580729166666665,5.852864583333333,5.600260416666667,4.0859375,7.2421875,1.1822916666666667,0.4114583333333333,1.95703125
traffic_elements,Safe,12,-0.4083333333333334,-2.4296875,-3.078125,-1.7825520833333333,-1.265625,-1.6966145833333333,-0.875,-2.3385416666666665,-3.0390625,-1.6419270833333333,-1.1640625,-1.7669270833333333,-0.57421875,-0.0911458333333333,-0.7291666666666666,0.5221354166666666
traffic_elements,Wealthy,12,0.2416666666666667,0.29296875,-0.4479166666666667,1.1041666666666667,-0.8776041666666666,-1.55859375,-0.0846354166666666,-0.0247395833333333,-0.9270833333333334,0.8619791666666666,1.1705729166666667,0.4934895833333333,1.9583333333333333,0.3177083333333333,0.00390625,0.6549479166666666
traffic_elements,Boring,12,-0.375,-3.501302083333333,-4.546907552083333,-2.358040364583336,-1.5885416666666667,-2.35546875,-0.7890625,-3.434895833333333,-4.286490885416667,-2.381477864583336,-1.9127604166666667,-2.3932291666666665,-1.4205729166666667,-0.06640625,-0.7903645833333334,0.60546875
built_elements,Beautiful,12,0.4833333333333333,1.1927083333333333,-0.2278645833333333,2.654980468749997,-0.82421875,-1.1822916666666667,-0.5077799479166695,0.5169270833333334,-0.69140625,1.80859375,2.016927083333333,0.6627604166666666,3.438834635416664,0.67578125,0.0677083333333333,1.27734375
built_elements,Depressing,12,-1.0666666666666669,-0.58203125,-2.17578125,1.0481770833333333,-0.75390625,-2.364615885416667,0.8177408854166639,-0.4908854166666667,-2.1914388020833333,1.2109375,0.171875,-0.4557291666666667,0.68359375,-0.0911458333333333,-0.7981770833333334,0.5260416666666666
built_elements,Lively,12,0.15,0.3684895833333333,-0.2369791666666666,0.9153645833333334,0.3424479166666667,-0.2096354166666666,0.8684895833333334,-0.01953125,-0.6731770833333334,0.5598958333333334,0.0260416666666666,-0.4388020833333333,0.66015625,0.3880208333333333,-0.0794270833333333,0.8502604166666666
built_elements,Safe,12,0.3416666666666666,1.78125,0.27734375,3.35940755208333,-0.9166666666666666,-1.36328125,-0.4023111979166695,1.16015625,-0.1627604166666666,2.5377604166666665,2.6979166666666665,1.40234375,4.115917968749997,0.62109375,0.03515625,1.2591145833333333
built_elements,Wealthy,12,0.975,1.6145833333333333,0.2760091145833334,3.014355468749997,-0.5247395833333334,-1.1783854166666667,0.1497395833333333,1.0690104166666667,-0.1875,2.4361979166666665,2.1393229166666665,0.6979166666666666,3.6510416666666665,0.5455729166666666,-0.16796875,1.2578125
built_elements,Boring,12,0.0583333333333333,-0.5078125,-1.3151041666666667,0.3841145833333333,-0.81640625,-1.6002604166666667,0.0338541666666666,-1.1588541666666667,-1.9348958333333333,-0.3267903645833362,0.30859375,0.0078125,0.62890625,0.6510416666666666,0.16796875,1.0755208333333333
