theory,series,response_level,n_carriers,closed_mean,closed_ci_low,closed_ci_high,open_mean,open_ci_low,open_ci_high
decay,density,D01,6,0.8666666666666666,0.85,0.8833333333333334,0.8416666666666667,0.8249999999999998,0.85
decay,density,D02,6,0.7683333333333334,0.715,0.8133333333333334,0.7000000000000001,0.65,0.7416666666666667
decay,density,D03,6,0.6316666666666666,0.5433333333333333,0.7000000000000001,0.5583333333333332,0.475,0.6333333333333333
decay,density,D04,6,0.5083333333333333,0.4166666666666667,0.5783333333333334,0.4416666666666667,0.35,0.525
decay,density,D05,6,0.3783333333333333,0.3,0.445,0.35,0.2666666666666666,0.425
decay,density,D06,6,0.265,0.1966666666666666,0.3333333333333333,0.2666666666666666,0.1999999999999999,0.325
decay,density,D07,6,0.1783333333333333,0.1216666666666666,0.2366666666666666,0.1916666666666666,0.1416666666666666,0.2333333333333333
decay,density,D08,6,0.12,0.0833333333333333,0.1583333333333333,0.12,0.0933333333333333,0.1416666666666667
decay,density,D09,6,0.0666666666666666,0.0483333333333333,0.085,0.0483333333333333,0.045,0.0499999999999999
decay,density,D10,6,0.03,0.0183333333333333,0.0416666666666666,0.015,0.0116666666666666,0.0183333333333333
scaling,gdp,C02,6,0.8318922577951201,0.6691563446869636,1.0088937065997676,1.4871097165873997,1.242453324894,1.6094379124340998
scaling,gdp,C03,6,1.7947860197449597,1.5469697810384753,2.0796462633950967,2.187060562900721,1.9560115027140723,2.302585092994045
scaling,gdp,C04,6,2.597027162778036,2.2010145656291136,3.030832774884316,3.63697968760242,3.086893051950968,3.912023005428146
scaling,gdp,C05,6,3.324619395215245,2.8730479683698564,3.7942951029043392,4.309844045666112,3.719191765022153,4.605170185988091
scaling,gdp,C06,6,3.965335411031122,3.447293936076765,4.526182906186715,5.134845824379416,4.349757374105096,5.756462732485114
scaling,gdp,C07,6,4.637524519923812,4.020103868983631,5.284354889866425,5.946368446349841,5.063315551925169,6.561181688702163
scaling,gdp,C08,6,5.380163389828041,4.738781428836515,6.0506362815879084,6.755040157003111,5.64489095682801,7.712474235199186
scaling,gdp,C09,6,6.139328416547024,5.408075035880223,6.932182279913396,7.4135807767666835,6.234218454998832,8.405621415759134
scaling,gdp,C10,6,6.78861023223931,6.015987980841867,7.580071482757907,8.36447806943721,6.907755278982137,9.66848573791326
scaling,gdp,C11,6,7.279280390316194,6.433828070029771,8.142766964773749,9.009678237921865,7.457061423316193,10.361632918473209
scaling,gdp,C12,6,7.771442610396153,6.871456345055719,8.628904253307178,11.971070830907308,9.66848573791326,13.122363377404328
scaling,road,C02,6,0.5863926621156148,0.4789998260505294,0.6937854981807002,0.5173624092915374,0.5108256237659905,0.5304359803426313
scaling,road,C03,6,1.217237444355524,1.014840812574474,1.4612533218912291,1.0180198448974276,0.9808292530117256,1.0924010286688308
scaling,road,C04,6,1.718058706722008,1.499936556776755,1.9524748847949096,1.637754418566666,1.5505463946059086,1.7532789486599905
scaling,road,C05,6,2.2378521490714545,1.966449752733392,2.5449042942712103,2.345836958908226,2.1769278788535926,2.5579979048770403
scaling,road,C06,6,2.7852315555416536,2.4416928834663194,3.212200941648211,2.8772427588027205,2.6583332526081165,3.1599843070400087
scaling,road,C07,6,3.343192226280056,2.925568128967107,3.960757401895009,3.36855194996677,3.08068179195169,3.7415597119428496
scaling,road,C08,6,3.8225630178112944,3.3796379971632065,4.495060592261866,4.007917029578739,3.59771867571696,4.514009407591114
scaling,road,C09,6,4.314677293707625,3.832103986931749,5.134478147100424,4.670677284006358,4.199705077879926,5.207156588151059
scaling,road,C10,6,4.805323781390773,4.274572596884522,5.679213258593536,5.220021527932914,4.734925783730634,5.809142990314026
scaling,road,C11,6,5.183584122345303,4.55230755321739,6.1319439969325815,5.761403256699606,5.19592016022503,6.502290170873972
scaling,road,C12,6,5.452826299703211,4.741376641475398,6.361998657407876,7.623195791238669,6.646131207099863,8.111728083308073
vitality,activity,M02,6,0.6900738581813527,0.6891444090218998,0.6910029654618882,0.2860250712441514,0.2860250712441514,0.2860250712441514
vitality,activity,M03,6,1.0945121012477297,1.0931990744426667,1.095752227420226,0.5081731023168592,0.5081731023168592,0.5081731023168592
vitality,activity,M04,6,1.3816802848388552,1.380202732301445,1.383076404165555,0.6898304279339511,0.6898304279339511,0.6898304279339511
vitality,activity,M05,6,1.6045153565772672,1.603025063492904,1.6059947139474406,0.8435063866509411,0.8435063866509411,0.8435063866509411
vitality,activity,M06,6,1.78663119932576,1.784988526344191,1.788183006388414,0.976681590491645,0.976681590491645,0.976681590491645
vitality,activity,M07,6,1.9406349106571796,1.9389450253620488,1.9422579013620325,1.0941875026877543,1.0941875026877543,1.0941875026877543
vitality,activity,M08,6,2.0740560605562077,2.0723307557953103,2.075696908525801,1.1993262642699405,1.1993262642699405,1.1993262642699405
vitality,activity,M09,6,2.191753342176668,2.1900004828773203,2.1934091903731296,1.2944549723379906,1.2944549723379906,1.2944549723379906
