dimension,n_source,n_evaluated,human_equal_n,ai_equal_n,accuracy,balanced_accuracy,macro_f1,kappa,kappa_ci_low,kappa_ci_high
safety,1000,1000,127,12,0.572,0.442397825271841,0.4220522290144793,0.2453987838226192,0.1947833037951442,0.2956046970547821
beautiful,1000,1000,109,8,0.594,0.4472406526309498,0.4255724329641963,0.2719747952653256,0.2179580930576469,0.3205672852392491
lively,1000,1000,111,11,0.528,0.4102473475607803,0.403386773343408,0.1576242147344375,0.1058218674366376,0.2072493487058928
wealthy,1000,1000,114,14,0.579,0.444738415673888,0.4299758244104817,0.2510176197660185,0.2003077982921561,0.2995351657627096
boring,1000,1000,177,11,0.501,0.4079999762443078,0.3742110742403539,0.1558311933061981,0.1097686597626357,0.2039655752097236
depressing,1000,1000,171,9,0.523,0.4216998067087207,0.3857555100041299,0.1874336702275355,0.1391396358336709,0.2340831805270453
