theme,dimension,n_scenes,estimate,ci95_low,ci95_high,exact_signflip_p,reference_effect
natural_elements,Beautiful,12,5.40625,3.3385416666666665,7.305989583333333,0.001953125,2.2333333333333334
natural_elements,Depressing,12,-4.248697916666667,-6.069010416666667,-2.4244791666666665,0.0009765625,-2.775
natural_elements,Lively,12,5.67578125,4.796842447916667,6.619791666666667,0.00048828125,1.1916666666666667
natural_elements,Safe,12,3.10546875,2.46484375,3.73828125,0.00048828125,1.0916666666666666
natural_elements,Wealthy,12,3.1640625,1.2955403645833334,4.87109375,0.01123046875,1.3499999999999999
natural_elements,Boring,12,-3.29296875,-4.65107421875,-2.0416666666666665,0.00048828125,-1.1916666666666667
traffic_elements,Beautiful,12,-1.171875,-1.95703125,-0.375,0.02001953125,-0.7666666666666666
traffic_elements,Depressing,12,-1.1315104166666667,-3.2747395833333335,1.0794270833333333,0.3447265625,0.08333333333333333
traffic_elements,Lively,12,7.125,5.66533203125,8.346386718749997,0.00048828125,1.4583333333333333
traffic_elements,Safe,12,-4.106770833333333,-4.84638671875,-3.3424479166666665,0.00048828125,-0.4083333333333334
traffic_elements,Wealthy,12,-0.35546875,-1.8619791666666667,1.2096354166666667,0.67333984375,0.2416666666666667
traffic_elements,Boring,12,-3.15234375,-4.098958333333333,-2.1484375,0.0009765625,-0.375
built_elements,Beautiful,12,0.9192708333333334,-0.39716796875,2.1927083333333335,0.2080078125,0.48333333333333334
built_elements,Depressing,12,0.18880208333333334,-1.4114583333333333,1.7643554687499972,0.83154296875,-1.0666666666666667
built_elements,Lively,12,1.1471354166666667,0.6393229166666666,1.6770833333333333,0.00146484375,0.15
built_elements,Safe,12,2.1236979166666665,1.14580078125,3.1809895833333335,0.00244140625,0.3416666666666666
built_elements,Wealthy,12,1.79296875,0.07552083333333333,3.399772135416664,0.0703125,0.975
built_elements,Boring,12,-0.14192708333333334,-1.3111979166666667,1.02734375,0.822265625,0.05833333333333335
