scene_id,theme,dimension,reference_effect,clean_signed_theme_score,target_signed_theme_score,random_signed_theme_score,target_change,random_change,target_intervention_norm,random_intervention_norm,norm_absolute_difference,norm_tolerance,equal_norm_check_passed
scene_002,built_elements,Lively,0.15,0.359375,0.734375,0.421875,-0.375,-0.0625,3306.330078125,3306.333251953125,0.003173828125,0.3306330078125,True
scene_002,built_elements,Safe,0.3416666666666666,0.78125,0.484375,0.78125,0.296875,0.0,3278.165771484375,3278.152099609375,0.013671875,0.32781657714843754,True
scene_002,built_elements,Wealthy,0.975,5.265625,4.96875,4.671875,0.296875,0.59375,3306.330078125,3306.312744140625,0.017333984375,0.3306330078125,True
scene_002,built_elements,Boring,0.05833333333333335,2.234375,2.25,2.109375,-0.015625,0.125,3278.165771484375,3278.156982421875,0.0087890625,0.32781657714843754,True
scene_003,natural_elements,Beautiful,2.2333333333333334,1.859375,1.546875,1.921875,0.3125,-0.0625,3570.258056640625,3570.284912109375,0.02685546875,0.3570258056640625,True
scene_003,natural_elements,Depressing,-2.775,-5.8125,-5.015625,-4.203125,-0.796875,-1.609375,3603.78515625,3603.77197265625,0.01318359375,0.360378515625,True
scene_003,natural_elements,Lively,1.1916666666666667,4.828125,4.890625,4.09375,-0.0625,0.734375,3570.258056640625,3570.298095703125,0.0400390625,0.3570258056640625,True
scene_003,natural_elements,Safe,1.0916666666666666,4.203125,2.140625,2.53125,2.0625,1.671875,3603.78515625,3603.818359375,0.033203125,0.360378515625,True
scene_003,natural_elements,Wealthy,1.3499999999999999,0.578125,0.1875,0.265625,0.390625,0.3125,3570.258056640625,3570.24755859375,0.010498046875,0.3570258056640625,True
scene_003,natural_elements,Boring,-1.1916666666666667,-4.703125,-3.640625,-2.5,-1.0625,-2.203125,3603.78515625,3603.7919921875,0.0068359375,0.360378515625,True
scene_003,traffic_elements,Beautiful,-0.7666666666666666,0.546875,-0.6875,-2.0625,1.234375,2.609375,3599.62451171875,3599.6328125,0.00830078125,0.35996245117187503,True
scene_003,traffic_elements,Depressing,0.08333333333333333,1.203125,1.1875,1.421875,0.015625,-0.21875,3557.4091796875,3557.4541015625,0.044921875,0.35574091796875,True
scene_003,traffic_elements,Lively,1.4583333333333333,10.25,9.953125,8.25,0.296875,2.0,3599.62451171875,3599.622314453125,0.002197265625,0.35996245117187503,True
scene_003,traffic_elements,Safe,-0.4083333333333334,-5.703125,-6.25,-5.890625,0.546875,0.1875,3557.4091796875,3557.392578125,0.0166015625,0.35574091796875,True
scene_003,traffic_elements,Wealthy,0.2416666666666667,-2.71875,-2.21875,-1.578125,-0.5,-1.140625,3599.62451171875,3599.609619140625,0.014892578125,0.35996245117187503,True
scene_003,traffic_elements,Boring,-0.375,-3.59375,-4.140625,-4.03125,0.546875,0.4375,3557.4091796875,3557.403564453125,0.005615234375,0.35574091796875,True
scene_003,built_elements,Beautiful,0.48333333333333334,-0.8125,-1.328125,-0.34375,0.515625,-0.46875,3319.345947265625,3319.336181640625,0.009765625,0.3319345947265625,True
scene_003,built_elements,Depressing,-1.0666666666666667,0.5,-0.8125,-0.484375,1.3125,0.984375,3334.865478515625,3334.90185546875,0.036376953125,0.3334865478515625,True
scene_003,built_elements,Lively,0.15,1.703125,1.65625,0.578125,0.046875,1.125,3319.345947265625,3319.326171875,0.019775390625,0.3319345947265625,True
scene_003,built_elements,Safe,0.3416666666666666,3.359375,2.421875,1.546875,0.9375,1.8125,3334.865478515625,3334.904296875,0.038818359375,0.3334865478515625,True
scene_003,built_elements,Wealthy,0.975,0.484375,0.265625,0.46875,0.21875,0.015625,3319.345947265625,3319.358642578125,0.0126953125,0.3319345947265625,True
scene_003,built_elements,Boring,0.05833333333333335,-1.96875,-2.28125,-0.515625,0.3125,-1.453125,3334.865478515625,3334.88330078125,0.017822265625,0.3334865478515625,True
scene_004,natural_elements,Beautiful,2.2333333333333334,8.484375,7.015625,7.734375,1.46875,0.75,3679.1416015625,3679.120361328125,0.021240234375,0.36791416015625,True
scene_004,natural_elements,Depressing,-2.775,0.15625,0.0,0.171875,0.15625,-0.015625,3679.596923828125,3679.606201171875,0.00927734375,0.3679596923828125,True
scene_004,natural_elements,Lively,1.1916666666666667,8.921875,7.15625,5.3125,1.765625,3.609375,3679.1416015625,3679.1689453125,0.02734375,0.36791416015625,True
scene_004,natural_elements,Safe,1.0916666666666666,0.734375,0.453125,0.703125,0.28125,0.03125,3679.596923828125,3679.608154296875,0.01123046875,0.3679596923828125,True
scene_004,natural_elements,Wealthy,1.3499999999999999,6.21875,4.578125,3.328125,1.640625,2.890625,3679.1416015625,3679.1513671875,0.009765625,0.36791416015625,True
scene_004,natural_elements,Boring,-1.1916666666666667,-1.640625,-2.234375,-1.390625,0.59375,-0.25,3679.596923828125,3679.598876953125,0.001953125,0.3679596923828125,True
scene_004,traffic_elements,Beautiful,-0.7666666666666666,-3.6875,-4.453125,-4.09375,0.765625,0.40625,3453.841064453125,3453.821533203125,0.01953125,0.34538410644531253,True
scene_004,traffic_elements,Depressing,0.08333333333333333,-5.453125,-5.765625,-6.609375,0.3125,1.15625,3452.740478515625,3452.742919921875,0.00244140625,0.3452740478515625,True
scene_004,traffic_elements,Lively,1.4583333333333333,5.328125,5.8125,6.0,-0.484375,-0.671875,3453.841064453125,3453.873291015625,0.0322265625,0.34538410644531253,True
scene_004,traffic_elements,Safe,-0.4083333333333334,-1.375,-0.890625,-1.984375,-0.484375,0.609375,3452.740478515625,3452.73974609375,0.000732421875,0.3452740478515625,True
scene_004,traffic_elements,Wealthy,0.2416666666666667,-3.578125,-4.15625,-3.5625,0.578125,-0.015625,3453.841064453125,3453.845947265625,0.0048828125,0.34538410644531253,True
scene_004,traffic_elements,Boring,-0.375,-4.09375,-3.84375,-3.828125,-0.25,-0.265625,3452.740478515625,3452.77490234375,0.034423828125,0.3452740478515625,True
scene_004,built_elements,Beautiful,0.48333333333333334,3.140625,2.0,1.859375,1.140625,1.28125,3530.1884765625,3530.162353515625,0.026123046875,0.35301884765625,True
scene_004,built_elements,Depressing,-1.0666666666666667,3.34375,3.46875,3.484375,-0.125,-0.140625,3546.67724609375,3546.676513671875,0.000732421875,0.354667724609375,True
scene_004,built_elements,Lively,0.15,0.640625,0.859375,-1.34375,-0.21875,1.984375,3530.1884765625,3530.19384765625,0.00537109375,0.35301884765625,True
scene_004,built_elements,Safe,0.3416666666666666,1.4375,1.328125,1.40625,0.109375,0.03125,3546.67724609375,3546.65625,0.02099609375,0.354667724609375,True
scene_004,built_elements,Wealthy,0.975,4.5625,4.03125,3.390625,0.53125,1.171875,3530.1884765625,3530.1533203125,0.03515625,0.35301884765625,True
scene_004,built_elements,Boring,0.05833333333333335,2.21875,2.328125,2.25,-0.109375,-0.03125,3546.67724609375,3546.7021484375,0.02490234375,0.354667724609375,True
scene_005,natural_elements,Beautiful,2.2333333333333334,5.859375,5.953125,5.1875,-0.09375,0.671875,3476.93017578125,3476.960693359375,0.030517578125,0.34769301757812504,True
scene_005,natural_elements,Depressing,-2.775,-9.140625,-9.015625,-7.9375,-0.125,-1.203125,3501.92822265625,3501.91357421875,0.0146484375,0.35019282226562504,True
scene_005,natural_elements,Lively,1.1916666666666667,7.5,7.625,6.296875,-0.125,1.203125,3476.93017578125,3476.91650390625,0.013671875,0.34769301757812504,True
scene_005,natural_elements,Safe,1.0916666666666666,3.421875,2.265625,2.09375,1.15625,1.328125,3501.92822265625,3501.8974609375,0.03076171875,0.35019282226562504,True
scene_005,natural_elements,Wealthy,1.3499999999999999,1.71875,1.71875,2.078125,0.0,-0.359375,3476.93017578125,3476.954833984375,0.024658203125,0.34769301757812504,True
scene_005,natural_elements,Boring,-1.1916666666666667,-7.703125,-7.0625,-5.015625,-0.640625,-2.6875,3501.92822265625,3501.935791015625,0.007568359375,0.35019282226562504,True
scene_005,traffic_elements,Beautiful,-0.7666666666666666,-0.15625,-0.46875,-0.921875,0.3125,0.765625,3307.407470703125,3307.367919921875,0.03955078125,0.33074074707031254,True
