scene_id,target_profile_attenuation,random_profile_change,specificity
scene_001,1.5527754617752692,0.6856801564905078,0.8670953052847613
scene_002,3.700206836839403,0.6727408286300667,3.0274660082093368
scene_003,3.670255579784505,1.1399195100051305,2.5303360697793744
scene_004,4.968236916367368,1.7523970625962029,3.2158398537711648
scene_005,3.042521806054386,1.292120959466393,1.7504008465879932
scene_006,5.143102231913801,1.5145988327347355,3.628503399179065
scene_007,2.1297380066700864,0.6188830810672139,1.5108549256028725
scene_008,4.157372370446383,1.4229733196511032,2.73439905079528
scene_009,3.1332333889173936,1.1038192662904054,2.029414122626988
scene_010,3.383225371985634,1.2649435608004105,2.1182818111852235
scene_011,4.6202860441251925,0.8517428809645974,3.768543163160595
scene_012,5.039266931759876,1.3812291559774243,3.658037775782452
