generation_id,prompt_condition,transport_success,valid_n,rejected_n,complete_100,fit_status,population_unique_ratio,population_log_range,road_unique_ratio,road_log_range,gdp_unique_ratio,gdp_log_range
distribution_blueprint_065,Blueprint prompt,1,92,0,0,ok,1.0,2.6020599913279625,1.0,2.2606013386083728,1.0,2.2671717284030137
distribution_baseline_066,Baseline prompt,1,100,0,1,ok,0.79,1.2552725051033065,0.7,0.7781512503836434,0.6,1.163502131747661
distribution_blueprint_066,Blueprint prompt,1,92,0,0,ok,1.0,2.688246138944246,1.0,2.258571556641096,1.0,2.2365720064370627
distribution_baseline_067,Baseline prompt,1,100,0,1,ok,1.0,1.084672597833266,0.98,0.8995734132691067,0.99,0.887484765422589
distribution_blueprint_067,Blueprint prompt,1,100,0,1,ok,1.0,2.7099653886374817,1.0,2.176091259055682,1.0,2.283996656365201
distribution_baseline_068,Baseline prompt,1,100,0,1,ok,0.9,0.9719712763997564,0.83,0.846665891832235,0.69,1.0280287236002437
distribution_blueprint_068,Blueprint prompt,1,100,0,1,ok,1.0,2.6989700043360187,1.0,1.6873881317862036,1.0,2.2518119729937998
distribution_baseline_069,Baseline prompt,1,100,0,1,ok,0.76,1.027152246043614,0.5,0.7781512503836434,0.91,1.3631779024128257
distribution_blueprint_069,Blueprint prompt,1,100,0,1,ok,1.0,2.6020599913279625,1.0,2.0457574905606752,1.0,1.87942606879415
distribution_baseline_070,Baseline prompt,1,100,0,1,ok,0.98,0.9784950376673304,0.81,1.0569048513364727,0.99,0.9535107578223928
distribution_blueprint_070,Blueprint prompt,1,100,0,1,ok,1.0,2.6575773191777934,1.0,2.403930372361225,1.0,2.7883451651521183
distribution_baseline_071,Baseline prompt,1,100,0,1,ok,0.98,0.9533747879080972,0.71,0.4154643536555706,0.81,0.8534548413680669
distribution_blueprint_071,Blueprint prompt,1,100,0,1,ok,1.0,2.6108339156354674,1.0,1.436764163039828,1.0,2.5228787452803374
distribution_baseline_072,Baseline prompt,1,100,0,1,ok,0.74,0.8772827233856582,0.57,0.8205550989367312,0.81,0.9642844477334656
distribution_blueprint_072,Blueprint prompt,1,92,1,0,ok,0.9347826086956522,3.544068044350276,0.8478260869565217,1.7676858167054783,0.9347826086956522,2.920818753952375
distribution_baseline_073,Baseline prompt,1,98,0,0,ok,0.6326530612244898,0.928200707574974,0.6530612244897959,0.9176487071628684,0.6122448979591837,1.018749436012838
distribution_blueprint_073,Blueprint prompt,1,100,0,1,ok,1.0,2.7569619513137056,1.0,2.795880017344075,1.0,2.4948500216800937
distribution_baseline_074,Baseline prompt,1,5,1,0,ok,1.0,0.3010299956639812,1.0,0.2866321749633385,1.0,0.2078380351735411
distribution_blueprint_074,Blueprint prompt,1,93,0,0,ok,1.0,2.6020599913279625,0.946236559139785,2.204119982655925,0.8924731182795699,2.6575773191777934
distribution_baseline_075,Baseline prompt,1,100,0,1,ok,0.99,0.5901601599511643,0.79,0.6515453544078804,0.99,0.7157445819662236
