panel,theory,cell,closed_mean,open_mean,pearson_r
a,scaling,C02,0.8318922577951201,1.4871097165873997,0.9745365326874451
a,scaling,C03,1.7947860197449597,2.187060562900721,0.9745365326874451
a,scaling,C04,2.597027162778036,3.63697968760242,0.9745365326874451
a,scaling,C05,3.324619395215245,4.309844045666112,0.9745365326874451
a,scaling,C06,3.965335411031122,5.134845824379416,0.9745365326874451
a,scaling,C07,4.637524519923812,5.946368446349841,0.9745365326874451
a,scaling,C08,5.380163389828041,6.755040157003111,0.9745365326874451
a,scaling,C09,6.139328416547024,7.4135807767666835,0.9745365326874451
a,scaling,C10,6.78861023223931,8.36447806943721,0.9745365326874451
a,scaling,C11,7.279280390316194,9.009678237921865,0.9745365326874451
a,scaling,C12,7.771442610396153,11.971070830907308,0.9745365326874451
a,scaling,C02,0.5863926621156148,0.5173624092915374,0.9745365326874451
a,scaling,C03,1.217237444355524,1.0180198448974276,0.9745365326874451
a,scaling,C04,1.718058706722008,1.637754418566666,0.9745365326874451
a,scaling,C05,2.2378521490714545,2.345836958908226,0.9745365326874451
a,scaling,C06,2.7852315555416536,2.8772427588027205,0.9745365326874451
a,scaling,C07,3.343192226280056,3.36855194996677,0.9745365326874451
a,scaling,C08,3.8225630178112944,4.007917029578739,0.9745365326874451
a,scaling,C09,4.314677293707625,4.670677284006358,0.9745365326874451
a,scaling,C10,4.805323781390773,5.220021527932914,0.9745365326874451
a,scaling,C11,5.183584122345303,5.761403256699606,0.9745365326874451
a,scaling,C12,5.452826299703211,7.623195791238669,0.9745365326874451
b,decay,D01,0.8666666666666666,0.8416666666666667,0.9965977135685441
b,decay,D02,0.7683333333333334,0.7000000000000001,0.9965977135685441
b,decay,D03,0.6316666666666666,0.5583333333333332,0.9965977135685441
b,decay,D04,0.5083333333333333,0.4416666666666667,0.9965977135685441
b,decay,D05,0.3783333333333333,0.35,0.9965977135685441
b,decay,D06,0.265,0.2666666666666666,0.9965977135685441
b,decay,D07,0.1783333333333333,0.1916666666666666,0.9965977135685441
b,decay,D08,0.12,0.12,0.9965977135685441
b,decay,D09,0.0666666666666666,0.0483333333333333,0.9965977135685441
b,decay,D10,0.03,0.015,0.9965977135685441
c,vitality,M02,0.6900738581813527,0.2860250712441514,0.997561245212414
c,vitality,M03,1.0945121012477297,0.5081731023168592,0.997561245212414
c,vitality,M04,1.3816802848388552,0.6898304279339511,0.997561245212414
c,vitality,M05,1.6045153565772672,0.8435063866509411,0.997561245212414
c,vitality,M06,1.78663119932576,0.976681590491645,0.997561245212414
c,vitality,M07,1.9406349106571796,1.0941875026877543,0.997561245212414
c,vitality,M08,2.0740560605562077,1.1993262642699405,0.997561245212414
c,vitality,M09,2.191753342176668,1.2944549723379906,0.997561245212414
d,perception,natural_elements_Beautiful,2.2333333333333334,7.907552083333333,0.9292199624540126
d,perception,natural_elements_Depressing,-2.775,-6.598958333333333,0.9292199624540126
d,perception,natural_elements_Lively,1.1916666666666669,4.9296875,0.9292199624540126
d,perception,natural_elements_Safe,1.0916666666666666,3.052083333333333,0.9292199624540126
d,perception,natural_elements_Wealthy,1.35,3.47265625,0.9292199624540126
d,perception,natural_elements_Boring,-1.1916666666666669,-5.52734375,0.9292199624540126
d,perception,traffic_elements_Beautiful,-0.7666666666666666,-1.0208333333333333,0.9292199624540126
d,perception,traffic_elements_Depressing,0.0833333333333333,-1.0950520833333333,0.9292199624540126
d,perception,traffic_elements_Lively,1.4583333333333333,5.700520833333333,0.9292199624540126
d,perception,traffic_elements_Safe,-0.4083333333333334,-2.4296875,0.9292199624540126
d,perception,traffic_elements_Wealthy,0.2416666666666667,0.29296875,0.9292199624540126
d,perception,traffic_elements_Boring,-0.375,-3.501302083333333,0.9292199624540126
d,perception,built_elements_Beautiful,0.4833333333333333,1.1927083333333333,0.9292199624540126
d,perception,built_elements_Depressing,-1.0666666666666669,-0.58203125,0.9292199624540126
d,perception,built_elements_Lively,0.15,0.3684895833333333,0.9292199624540126
d,perception,built_elements_Safe,0.3416666666666666,1.78125,0.9292199624540126
d,perception,built_elements_Wealthy,0.975,1.6145833333333333,0.9292199624540126
d,perception,built_elements_Boring,0.0583333333333333,-0.5078125,0.9292199624540126
